motif_id,panel,kind,spatial,residual_on,label_rule,n_labeled,n_negative,n_positive,auc_composition,composition_score,composition_gate,auc_spatial_distance,spatial_distance_score,spatial_distance_gate,decision,in_formal_panel,notes
tumor_high,control,composition,False,,median,366,191,175,0.998,0.998 ± 0.003,pass,0.853,0.853 ± 0.029,report_only,keep_as_control,True,对照。组成必须高（0.998）。NN 距离 0.853 只记录，不作对照硬门槛。
cd8_high,control,composition,False,,median,366,183,183,0.995,0.995 ± 0.005,pass,0.806,0.806 ± 0.055,report_only,keep_as_control,True,对照。组成必须高（0.995）。NN 距离 0.806 只记录，不作对照硬门槛。
cd8_clustering,spatial_candidate,neighbor_fraction,True,cd8,tertile_extremes,223,123,100,0.556,0.556 ± 0.078,pass,0.636,0.636 ± 0.082,hold,hold,False,组成 0.556 过关，距离 0.636 只有弱信号，暂扣。
tumor_stroma_mixing,spatial_candidate,neighbor_fraction,True,tumor;stroma,tertile_extremes,213,110,103,0.499,0.499 ± 0.082,pass,0.685,0.685 ± 0.088,hold,hold,False,组成 0.499 过关，距离 0.685 只有弱信号，暂扣。
interface_immune,spatial_candidate,interface,True,immune;tumor,tertile_extremes,220,98,122,0.531,0.531 ± 0.101,pass,0.668,0.668 ± 0.090,hold,hold,False,组成 0.531 过关，距离 0.668 只有弱信号，暂扣。
immune_exclusion,spatial_candidate,immune_exclusion,True,tumor;cd8,tertile_extremes,216,107,109,0.62,0.620 ± 0.099,borderline,0.633,0.633 ± 0.070,hold,hold,False,组成 0.620 擦边，距离 0.633 只有弱信号，暂扣。
tls_like,spatial_candidate,tls_like,True,b_cell;t_cell,tertile_extremes,231,130,101,0.514,0.514 ± 0.123,pass,0.452,0.452 ± 0.080,fail,drop_not_recovered,False,组成打底过关（0.514），但 k=1 同类/异类距离 0.452 恢复不了该空间结构。
t_tumor_mixing,spatial_candidate,neighbor_fraction,True,tumor;t_cell,tertile_extremes,238,118,120,0.799,0.799 ± 0.066,fail,0.709,0.709 ± 0.070,pass_caveat,drop_composition_leak,False,组成 0.799 已能抄走，不能当空间题。距离 0.709 只作记录。
cd8_tumor_contact,spatial_candidate,neighbor_fraction,True,tumor;cd8,tertile_extremes,232,111,121,0.702,0.702 ± 0.082,fail,0.634,0.634 ± 0.070,hold,drop_composition_leak,False,组成 0.702 已能抄走，不能当空间题。距离 0.634 只作记录。
macrophage_tumor_niche,spatial_candidate,neighbor_fraction,True,tumor;macrophage,tertile_extremes,241,109,132,0.711,0.711 ± 0.087,fail,0.806,0.806 ± 0.069,pass,drop_composition_leak,False,组成 0.711 已能抄走，不能当空间题。距离 0.806 只作记录。
granulocyte_tumor_niche,spatial_candidate,neighbor_fraction,True,tumor;granulocyte,tertile_extremes,236,114,122,0.637,0.637 ± 0.080,borderline,0.454,0.454 ± 0.086,fail,drop_not_recovered,False,组成 0.637 擦边，且 k=1 距离 0.454 恢复不了，淘汰。
apc_t_contact,spatial_candidate,neighbor_fraction,True,apc;t_cell,tertile_extremes,250,135,115,0.733,0.733 ± 0.088,fail,0.678,0.678 ± 0.098,hold,drop_composition_leak,False,组成 0.733 已能抄走，不能当空间题。距离 0.678 只作记录。
vessel_immune,spatial_candidate,neighbor_fraction,True,immune;vessel,tertile_extremes,244,124,120,0.654,0.654 ± 0.105,fail,0.71,0.710 ± 0.094,pass_caveat,drop_composition_leak,False,组成 0.654 已能抄走，不能当空间题。距离 0.710 只作记录。
