motif_id,source_dataset,source_dataset_name,eligible,task_type,panel,label_col,score_col,definition,n_labeled,n_0,n_1,auc_composition,auc_expression,auc_density,cd8_is_proxy,reason
apc_t_contact,bc_jackson2020,BC-Jackson2020,True,spatial_mixing,expression,apc_t_contact_label_v2,apc_t_contact_score_used,"After residualizing on APC% and T-cell%, APCs have unusually many T-cell neighbors within 50 µm.",315,140,175,0.5983675199119112,0.6011692174267932,0.6411018640622574,False,expression panel: composition near chance and expression near chance; n=315 labeled (140/175)
cd8_clustering,hnc_wu2022,HNC-Wu2022,True,spatial_arrangement,expression,cd8_clustering_label_v2,cd8_clustering_score_used,"After residualizing on CD8%, CD8 cells have unusually many CD8 neighbors within 50 µm.",223,123,100,0.556,0.558,0.639,False,expression panel: composition near chance and expression near chance; true CD8 types; n=223 labeled (123/100)
cd8_high,tnbc_wang2023,TNBC-Wang2023,True,composition_control,control,cd8_high_label_v2,cd8_high_score_used,CD8 (or T-cell proxy) fraction at or above the discovery-cohort median.,766,383,383,0.9957069032351534,0.9531851008925014,0.9874327761176974,False,control: composition and expression both recover the label; true CD8 types; n=766 labeled (383/383)
cd8_tumor_contact,bc_jackson2020,BC-Jackson2020,True,spatial_mixing,expression,cd8_tumor_contact_label_v2,cd8_tumor_contact_score_used,"After residualizing on tumor% and CD8%, CD8 cells have unusually many tumor neighbors within 50 µm.",381,142,239,0.549672843335537,0.5045138819861635,0.7059755066690294,True,expression panel: composition near chance and expression near chance; T-cell proxy (no CD8/CD4 split); n=381 labeled (142/239)
immune_exclusion,hnc_wu2022,HNC-Wu2022,True,spatial_compartment,density,immune_exclusion_label_v2,immune_exclusion_score_used,"After residualizing on tumor% and CD8%, CD8 cells lie outside the tumor polygon more than abundance predicts.",216,107,109,0.62,0.77,0.928,False,density panel: composition near chance and density recovers the label; true CD8 types; n=216 labeled (107/109)
interface_immune,bc_metabric_ali2020,BC-METABRIC,True,spatial_compartment,expression,interface_immune_label_v2,interface_immune_score_used,"After residualizing on immune% and tumor%, immune cells are concentrated within 50 µm of the tumor boundary.",276,138,138,0.5807521760091242,0.570272751323989,0.6340250674429354,False,expression panel: composition near chance and expression near chance; n=276 labeled (138/138)
macrophage_tumor_niche,bc_jackson2020,BC-Jackson2020,True,spatial_mixing,expression,macrophage_tumor_niche_label_v2,macrophage_tumor_niche_score_used,"After residualizing on tumor% and macrophage%, macrophages have unusually many tumor neighbors within 50 µm.",301,149,152,0.5579175070110742,0.4888977486838368,0.6637734820837314,False,expression panel: composition near chance and expression near chance; n=301 labeled (149/152)
t_tumor_mixing,bc_jackson2020,BC-Jackson2020,True,spatial_mixing,expression,t_tumor_mixing_label_v2,t_tumor_mixing_score_used,"After residualizing on tumor% and T-cell%, T cells have unusually many tumor neighbors within 50 µm.",385,143,242,0.5244467284746616,0.5009516650006146,0.6757725853047166,False,expression panel: composition near chance and expression near chance; n=385 labeled (143/242)
tumor_high,bc_jackson2020,BC-Jackson2020,True,composition_control,control,tumor_high_label_v2,tumor_high_score_used,Tumor-cell fraction at or above the discovery-cohort median.,708,344,364,0.9970130816841648,0.978718885578832,0.9905968427373626,False,control: composition and expression both recover the label; n=708 labeled (344/364)
tumor_stroma_mixing,bc_metabric_ali2020,BC-METABRIC,True,spatial_mixing,expression+density,tumor_stroma_mixing_label_v2,tumor_stroma_mixing_score_used,"After residualizing on tumor% and stroma%, tumor cells have unusually many stromal neighbors within 50 µm.",327,164,163,0.592093234779858,0.582686180846562,0.842456872424071,False,expression panel: composition near chance and expression near chance; density panel: composition near chance and density recovers the label; n=327 labeled (164/163)
