panel,motif_id,role,spatial,residual_on,n_labeled_v2,auc_composition,composition_label_version,auc_pp_pooled,auc_pp_bytype,gate1_composition,gate2_pointpattern_bytype,decision,in_formal_set,notes
composition_then_pointpattern,tumor_high,control,False,,366,0.998,v2,0.574,0.970,pass_control,pass_control,keep_control,True,对照：分类型 K/L 会编码丰度，高 AUC 不表示空间成功。
composition_then_pointpattern,cd8_high,control,False,,366,0.995,v2,0.740,0.985,pass_control,pass_control,keep_control,True,对照：同上。
composition_then_pointpattern,cd8_clustering,spatial,True,cd8,223,0.556,v2,0.566,0.913,pass,pass,keep_spatial,True,最干净空间题。组成随机；pooled K/L 无效；分类型 K/L 0.91。
composition_then_pointpattern,tumor_stroma_mixing,spatial,True,tumor;stroma,213,0.499,v2,0.648,0.914,pass,pass,keep_spatial,True,组成随机；分类型 K/L 恢复隔室混合。密度 0.83 也高，但是隔室结构本身。
composition_then_pointpattern,interface_immune,spatial,True,immune;tumor,220,0.531,v2,0.696,0.833,pass,pass,keep_spatial,True,组成过关。独立证据用分类型 PP 0.83；密度 0.93 与肿瘤多边形共用，不算独立成功。
composition_then_pointpattern,immune_exclusion,spatial,True,tumor;cd8,216,0.620,v2,0.612,0.832,borderline,pass,keep_spatial_caveat,True,组成 0.62 擦边。分类型 PP 0.83 可恢复；密度 0.93 是多边形泄漏。
composition_then_pointpattern,tls_like,spatial,True,b_cell;t_cell,231,0.514,v2,0.540,0.645,pass,fail,hold,False,组成过关，但分类型 K/L 仅 0.65，空间结构尚未证明可恢复。
composition_then_pointpattern,t_tumor_mixing,spatial,True,tumor;t_cell,238,0.799,v1,,,fail,not_tested,drop_composition_leak,False,组成 0.80；未进入分类型 PP 正式筛选。
composition_then_pointpattern,cd8_tumor_contact,spatial,True,tumor;cd8,232,0.702,v1,,,fail,not_tested,drop_composition_leak,False,组成 0.70。
composition_then_pointpattern,macrophage_tumor_niche,spatial,True,tumor;macrophage,241,0.711,v1,,,fail,not_tested,drop_composition_leak,False,组成 0.71。
composition_then_pointpattern,granulocyte_tumor_niche,spatial,True,tumor;granulocyte,236,0.637,v1,,,fail,not_tested,drop_composition_leak,False,组成 0.64 部分泄漏。
composition_then_pointpattern,apc_t_contact,spatial,True,apc;t_cell,250,0.733,v1,,,fail,not_tested,drop_composition_leak,False,组成 0.73。
composition_then_pointpattern,vessel_immune,spatial,True,immune;vessel,244,0.654,v1,,,fail,not_tested,drop_composition_leak,False,组成 0.65 部分泄漏。
